,line,start,end,token,scopes,rgb,pixel_size,position
53,14,12,30,D(x)              ,"[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]","(0, 255, 255)",1,3
55,14,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]","(0, 40, 255)",1,4
54,14,31,43, Nested in A,"[""source.matlab"", ""comment.line.percentage.matlab""]","(0, 0, 40)",1,5
56,15,0,3,   ,"[""source.matlab""]","(0, 0, 0)",1,0
58,15,3,4,E,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,1
57,15,4,5,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,2
59,15,5,6,x,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,3
60,15,6,7,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]","(0, 255, 24)",1,4
61,16,0,1,,"[""source.matlab""]","(0, 0, 0)",1,0
62,17,0,6,      ,"[""source.matlab"", ""meta.function-call.command.matlab""]","(0, 0, 255)",2,0
63,17,6,14,function,"[""source.matlab"", ""meta.function-call.command.matlab"", ""entity.name.function.command.matlab""]","(0, 255, 255)",1,2
64,17,14,15, ,"[""source.matlab"", ""meta.function-call.command.matlab""]","(0, 0, 255)",1,3
65,17,15,30,E(x)           ,"[""source.matlab"", ""meta.function-call.command.matlab"", ""string.unquoted.matlab""]","(0, 255, 255)",1,4
66,17,30,31,%,"[""source.matlab"", ""comment.line.percentage.matlab"", ""punctuation.definition.comment.matlab""]","(0, 40, 255)",1,5
68,17,31,43, Nested in D,"[""source.matlab"", ""comment.line.percentage.matlab""]","(0, 0, 40)",1,6
67,18,0,6,      ,"[""source.matlab""]","(0, 0, 0)",2,0
69,18,6,10,disp,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""entity.name.function.matlab""]","(0, 255, 45)",1,2
72,18,10,11,(,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.begin.matlab""]","(0, 255, 23)",1,3
71,18,11,12,x,"[""source.matlab"", ""meta.function-call.parens.matlab"", ""variable.other.readwrite.matlab""]","(0, 255, 57)",1,4
70,18,12,13,),"[""source.matlab"", ""meta.function-call.parens.matlab"", ""punctuation.section.parens.end.matlab""]","(0, 255, 24)",1,5
76,19,0,6,      ,"[""source.matlab""]","(0, 0, 0)",2,0
73,19,6,9,end,"[""source.matlab"", ""variable.other.readwrite.matlab""]","(0, 0, 57)",1,2
74,20,0,3,   ,"[""source.matlab""]","(0, 0, 0)",1,0
75,20,3,6,end,"[""source.matlab"", ""variable.other.readwrite.matlab""]","(0, 0, 57)",1,1
77,21,0,3,end,"[""source.matlab"", ""variable.other.readwrite.matlab""]","(0, 0, 57)",1,0
78,22,0,1,,"[""source.matlab""]","(0, 0, 0)",1,0
